code,name,category,manufacturer,description,price,sellingPrice,quantity,expiryDate,status
0053-7202,Zemaira Kit,General Medicine,Csl Behring Llc,.ALPHA.1-PROTEINASE INHIBITOR HUMAN,105.63,137.32,276,2027-04-23,IN_STOCK
0053-7203,Zemaira Kit,General Medicine,Csl Behring Llc,.ALPHA.1-PROTEINASE INHIBITOR HUMAN,22.78,29.61,62,2028-01-06,IN_STOCK
0054-0007,Calcitriol Capsule,Cholecalciferol [CS],Hikma Pharmaceuticals Usa Inc.,Calcitriol,30.04,39.05,390,2027-12-30,IN_STOCK
0054-0010,Flecainide Acetate Tablet,Antiarrhythmic [EPC],Hikma Pharmaceuticals Usa Inc.,flecainide acetate,149.6,194.48,374,2027-08-24,IN_STOCK
0054-0011,Flecainide Acetate Tablet,Antiarrhythmic [EPC],Hikma Pharmaceuticals Usa Inc.,flecainide acetate,101.84,132.39,388,2026-12-06,IN_STOCK
0054-0012,Flecainide Acetate Tablet,Antiarrhythmic [EPC],Hikma Pharmaceuticals Usa Inc.,flecainide acetate,84.75,110.17,173,2027-08-04,IN_STOCK
0054-0017,Prednisone Tablet,Corticosteroid Hormone Receptor Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,PredniSONE,128.45,166.98,389,2028-09-26,IN_STOCK
0054-0018,Prednisone Tablet,Corticosteroid Hormone Receptor Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,PredniSONE,139.46,181.3,351,2027-03-28,IN_STOCK
0054-0019,Prednisone Tablet,Corticosteroid Hormone Receptor Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,PredniSONE,120.09,156.12,285,2027-05-18,IN_STOCK
0054-0020,"Lithium Carbonate Tablet, Extended Release",Mood Stabilizer [EPC],Hikma Pharmaceuticals Usa Inc.,Lithium Carbonate,22.6,29.38,127,2028-12-20,IN_STOCK
0054-0021,"Lithium Carbonate Tablet, Extended Release",Mood Stabilizer [EPC],Hikma Pharmaceuticals Usa Inc.,Lithium Carbonate,25.14,32.68,277,2026-10-27,IN_STOCK
0054-0045,Ipratropium Bromide Spray,Anticholinergic [EPC],Hikma Pharmaceuticals Usa Inc.,Ipratropium Bromide,57.33,74.53,318,2027-10-13,IN_STOCK
0054-0046,Ipratropium Bromide Spray,Anticholinergic [EPC],Hikma Pharmaceuticals Usa Inc.,Ipratropium Bromide,72.77,94.6,307,2027-02-10,IN_STOCK
0054-0057,Digoxin Solution,Cardiac Glycoside [EPC],Hikma Pharmaceuticals Usa Inc.,Digoxin,93.73,121.85,69,2026-12-07,IN_STOCK
0054-0062,Citalopram Solution,Serotonin Reuptake Inhibitor [EPC],Hikma Pharmaceuticals Usa Inc.,Citalopram,49.85,64.81,392,2028-10-06,IN_STOCK
0054-0064,Ondansetron Hydrochloride Solution,Serotonin 3 Receptor Antagonists [MoA],Hikma Pharmaceuticals Usa Inc.,Ondansetron Hydrochloride,74.41,96.73,235,2028-11-26,IN_STOCK
0054-0077,Torsemide Tablet,Increased Diuresis at Loop of Henle [PE],Hikma Pharmaceuticals Usa Inc.,Torsemide,64.37,83.68,319,2026-12-15,IN_STOCK
0054-0079,Balsalazide Disodium Capsule,Aminosalicylate [EPC],Hikma Pharmaceuticals Usa Inc.,Balsalazide Disodium,23.17,30.12,187,2028-07-19,IN_STOCK
0054-0084,Zaleplon Capsule,Central Nervous System Depression [PE],Hikma Pharmaceuticals Usa Inc.,Zaleplon,15.75,20.48,263,2028-08-27,IN_STOCK
0054-0085,Zaleplon Capsule,Central Nervous System Depression [PE],Hikma Pharmaceuticals Usa Inc.,Zaleplon,80.02,104.03,90,2028-12-07,IN_STOCK
0054-0088,Calcium Acetate Capsule,Blood Coagulation Factor [EPC],Hikma Pharmaceuticals Usa Inc.,Calcium Acetate,84.94,110.42,325,2027-04-05,IN_STOCK
0054-0106,Ramipril Capsule,Angiotensin Converting Enzyme Inhibitor [EPC],Hikma Pharmaceuticals Usa Inc.,Ramipril,116.33,151.23,91,2027-12-18,IN_STOCK
0054-0107,Ramipril Capsule,Angiotensin Converting Enzyme Inhibitor [EPC],Hikma Pharmaceuticals Usa Inc.,Ramipril,77.92,101.3,53,2027-02-05,IN_STOCK
0054-0108,Ramipril Capsule,Angiotensin Converting Enzyme Inhibitor [EPC],Hikma Pharmaceuticals Usa Inc.,Ramipril,80.12,104.16,180,2027-03-18,IN_STOCK
0054-0109,Ramipril Capsule,Angiotensin Converting Enzyme Inhibitor [EPC],Hikma Pharmaceuticals Usa Inc.,Ramipril,28.49,37.04,388,2027-05-19,IN_STOCK
0054-0137,Galantamine Hydrobromide Solution,Cholinesterase Inhibitor [EPC],Hikma Pharmaceuticals Usa Inc.,Galantamine Hydrobromide,55.17,71.72,290,2027-07-18,IN_STOCK
0054-0140,Acarbose Tablet,alpha Glucosidase Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Acarbose,127.66,165.96,153,2027-04-20,IN_STOCK
0054-0141,Acarbose Tablet,alpha Glucosidase Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Acarbose,97.08,126.2,307,2027-07-09,IN_STOCK
0054-0142,Acarbose Tablet,alpha Glucosidase Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Acarbose,23.15,30.09,180,2028-06-21,IN_STOCK
0054-0166,Mycophenolate Mofetil Tablet,Antimetabolite Immunosuppressant [EPC],Hikma Pharmaceuticals Usa Inc.,Mycophenolate Mofetil,82.35,107.05,282,2028-07-18,IN_STOCK
0054-0176,Buprenorphine Tablet,Partial Opioid Agonist [EPC],Hikma Pharmaceuticals Usa Inc.,Buprenorphine,29.45,38.29,322,2027-03-07,IN_STOCK
0054-0177,Buprenorphine Tablet,Partial Opioid Agonist [EPC],Hikma Pharmaceuticals Usa Inc.,Buprenorphine,29.82,38.77,344,2028-10-07,IN_STOCK
0054-0188,Buprenorphine And Naloxone Tablet,Opioid Antagonist [EPC],Hikma Pharmaceuticals Usa Inc.,buprenorphine and naloxone,135.79,176.53,197,2028-04-30,IN_STOCK
0054-0189,Buprenorphine And Naloxone Tablet,Opioid Antagonist [EPC],Hikma Pharmaceuticals Usa Inc.,buprenorphine and naloxone,10.97,14.26,39,2026-12-23,IN_STOCK
0054-0220,Quetiapine Fumarate Tablet,Atypical Antipsychotic [EPC],Hikma Pharmaceuticals Usa Inc.,Quetiapine Fumarate,11.59,15.07,353,2028-11-28,IN_STOCK
0054-0221,Quetiapine Fumarate Tablet,Atypical Antipsychotic [EPC],Hikma Pharmaceuticals Usa Inc.,Quetiapine Fumarate,88.63,115.22,358,2027-05-04,IN_STOCK
0054-0222,Quetiapine Fumarate Tablet,Atypical Antipsychotic [EPC],Hikma Pharmaceuticals Usa Inc.,Quetiapine Fumarate,116.21,151.07,238,2028-06-24,IN_STOCK
0054-0223,Quetiapine Fumarate Tablet,Atypical Antipsychotic [EPC],Hikma Pharmaceuticals Usa Inc.,Quetiapine Fumarate,97.65,126.95,279,2028-07-04,IN_STOCK
0054-0229,Quetiapine Fumarate Tablet,Atypical Antipsychotic [EPC],Hikma Pharmaceuticals Usa Inc.,Quetiapine Fumarate,84.11,109.34,353,2027-08-06,IN_STOCK
0054-0230,Quetiapine Fumarate Tablet,Atypical Antipsychotic [EPC],Hikma Pharmaceuticals Usa Inc.,Quetiapine Fumarate,75.03,97.54,375,2027-11-20,IN_STOCK
0054-0235,Morphine Sulfate Tablet,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,Morphine Sulfate,48.13,62.57,62,2028-09-05,IN_STOCK
0054-0236,Morphine Sulfate Tablet,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,Morphine Sulfate,13.69,17.8,250,2027-11-30,IN_STOCK
0054-0237,Morphine Sulfate Solution,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,Morphine Sulfate,75.22,97.79,129,2027-09-14,IN_STOCK
0054-0238,Morphine Sulfate Solution,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,Morphine Sulfate,92.97,120.86,185,2028-10-05,IN_STOCK
0054-0243,Codeine Sulfate Tablet,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,codeine sulfate,51.3,66.69,201,2027-11-13,IN_STOCK
0054-0244,Codeine Sulfate Tablet,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,codeine sulfate,23.96,31.15,214,2028-03-11,IN_STOCK
0054-0245,Codeine Sulfate Tablet,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,codeine sulfate,86.44,112.37,188,2027-06-05,IN_STOCK
0054-0254,Irbesartan And Hydrochlorothiazide Tablet,Angiotensin 2 Receptor Antagonists [MoA],Hikma Pharmaceuticals Usa Inc.,Irbesartan and Hydrochlorothiazide,72.64,94.43,161,2028-01-04,IN_STOCK
0054-0255,Irbesartan And Hydrochlorothiazide Tablet,Angiotensin 2 Receptor Antagonists [MoA],Hikma Pharmaceuticals Usa Inc.,Irbesartan and Hydrochlorothiazide,40.95,53.24,74,2026-11-21,IN_STOCK
0054-0273,Imipramine Pamoate Capsule,Tricyclic Antidepressant [EPC],Hikma Pharmaceuticals Usa Inc,Imipramine Pamoate,47.08,61.2,221,2028-06-22,IN_STOCK
0054-0274,Imipramine Pamoate Capsule,Tricyclic Antidepressant [EPC],Hikma Pharmaceuticals Usa Inc,Imipramine Pamoate,65.63,85.32,106,2027-09-01,IN_STOCK
0054-0275,Imipramine Pamoate Capsule,Tricyclic Antidepressant [EPC],Hikma Pharmaceuticals Usa Inc,Imipramine Pamoate,140.39,182.51,394,2027-08-17,IN_STOCK
0054-0276,Imipramine Pamoate Capsule,Tricyclic Antidepressant [EPC],Hikma Pharmaceuticals Usa Inc,Imipramine Pamoate,32.53,42.29,106,2028-02-23,IN_STOCK
0054-0278,Naratriptan Tablet,Serotonin 1b Receptor Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,Naratriptan,149.42,194.25,264,2028-02-23,IN_STOCK
0054-0279,Naratriptan Tablet,Serotonin 1b Receptor Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,Naratriptan,132.47,172.21,279,2026-10-24,IN_STOCK
0054-0282,Alendronate Sodium Solution,Bisphosphonate [EPC],Hikma Pharmaceuticals Usa Inc.,Alendronate Sodium,18.06,23.48,226,2028-03-01,IN_STOCK
0054-0283,Oxymorphone Hydrochloride Tablet,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,oxymorphone hydrochloride,71.3,92.69,148,2027-05-09,IN_STOCK
0054-0284,Oxymorphone Hydrochloride Tablet,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,oxymorphone hydrochloride,89.58,116.45,49,2026-11-21,IN_STOCK
0054-0319,"Linezolid Powder, For Suspension",Oxazolidinone Antibacterial [EPC],Hikma Pharmaceuticals Usa Inc.,linezolid,45.8,59.54,330,2028-07-31,IN_STOCK
0054-0326,Fluticasone Propionate And Salmeterol Powder,Adrenergic beta2-Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,fluticasone propionate and salmeterol,102.52,133.28,171,2028-04-02,IN_STOCK
0054-0327,Fluticasone Propionate And Salmeterol Powder,Adrenergic beta2-Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,fluticasone propionate and salmeterol,6.19,8.05,80,2027-12-16,IN_STOCK
0054-0328,Fluticasone Propionate And Salmeterol Powder,Adrenergic beta2-Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,fluticasone propionate and salmeterol,24.42,31.75,160,2028-10-14,IN_STOCK
0054-0334,Cevimeline Hydrochloride Capsule,Cholinergic Muscarinic Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,Cevimeline Hydrochloride,58.04,75.45,231,2027-10-10,IN_STOCK
0054-0370,Lisdexamfetamine Dimesylate Capsule,Central Nervous System Stimulant [EPC],Hikma Pharmaceuticals Usa Inc.,lisdexamfetamine dimesylate,11.56,15.03,51,2028-05-06,IN_STOCK
0054-0371,Lisdexamfetamine Dimesylate Capsule,Central Nervous System Stimulant [EPC],Hikma Pharmaceuticals Usa Inc.,lisdexamfetamine dimesylate,86.46,112.4,210,2028-04-19,IN_STOCK
0054-0372,Lisdexamfetamine Dimesylate Capsule,Central Nervous System Stimulant [EPC],Hikma Pharmaceuticals Usa Inc.,lisdexamfetamine dimesylate,46.85,60.91,222,2028-02-29,IN_STOCK
0054-0373,Lisdexamfetamine Dimesylate Capsule,Central Nervous System Stimulant [EPC],Hikma Pharmaceuticals Usa Inc.,lisdexamfetamine dimesylate,70.3,91.39,306,2027-07-14,IN_STOCK
0054-0374,Lisdexamfetamine Dimesylate Capsule,Central Nervous System Stimulant [EPC],Hikma Pharmaceuticals Usa Inc.,lisdexamfetamine dimesylate,124.67,162.07,344,2028-08-27,IN_STOCK
0054-0375,Lisdexamfetamine Dimesylate Capsule,Central Nervous System Stimulant [EPC],Hikma Pharmaceuticals Usa Inc.,lisdexamfetamine dimesylate,93.6,121.68,90,2027-01-08,IN_STOCK
0054-0382,Cyclophosphamide Capsule,General Medicine,Hikma Pharmaceuticals Usa Inc.,Cyclophosphamide,62.12,80.76,198,2028-04-24,IN_STOCK
0054-0383,Cyclophosphamide Capsule,General Medicine,Hikma Pharmaceuticals Usa Inc.,Cyclophosphamide,141.15,183.5,98,2027-04-22,IN_STOCK
0054-0386,Hydromorphone Hydrochloride Solution,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,hydromorphone hydrochloride,92.36,120.07,230,2028-02-25,IN_STOCK
0054-0389,Methamphetamine Hydrochloride Tablet,Amphetamine Anorectic [EPC],Hikma Pharmaceuticals Usa Inc.,Methamphetamine Hydrochloride,10.84,14.09,44,2027-02-18,IN_STOCK
0054-0390,Oxycodone Hydrochloride Solution,Full Opioid Agonists [MoA],Hikma Pharmceuticals Usa Inc.,oxycodone hydrochloride,108.47,141.01,267,2028-03-15,IN_STOCK
0054-0391,Methadone Hydrochloride Concentrate,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa,Methadone Hydrochloride,71.26,92.64,335,2028-03-11,IN_STOCK
0054-0392,Methadone Hydrochloride Concentrate,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa,Methadone Hydrochloride,25.27,32.85,338,2027-08-23,IN_STOCK
0054-0400,"Desvenlafaxine Tablet, Film Coated, Extended Release",Cytochrome P450 2D6 Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Desvenlafaxine,28.56,37.13,340,2028-10-27,IN_STOCK
0054-0401,"Desvenlafaxine Tablet, Film Coated, Extended Release",Cytochrome P450 2D6 Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Desvenlafaxine,127.18,165.33,328,2027-09-10,IN_STOCK
0054-0413,Febuxostat Tablet,Xanthine Oxidase Inhibitor [EPC],Hikma Pharmaceuticals Usa Inc,Febuxostat,78.56,102.13,285,2028-03-29,IN_STOCK
0054-0414,Febuxostat Tablet,Xanthine Oxidase Inhibitor [EPC],Hikma Pharmaceuticals Usa Inc,Febuxostat,76.03,98.84,313,2027-08-03,IN_STOCK
0054-0425,"Rufinamide Tablet, Film Coated",General Medicine,Hikma Pharmaceuticals Usa Inc.,Rufinamide,73.86,96.02,33,2027-10-13,IN_STOCK
0054-0426,"Rufinamide Tablet, Film Coated",General Medicine,Hikma Pharmaceuticals Usa Inc.,Rufinamide,53.03,68.94,81,2027-12-01,IN_STOCK
0054-0438,Levorphanol Tartrate Tablet,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,LEVORPHANOL TARTRATE,89.64,116.53,396,2028-09-04,IN_STOCK
0054-0449,Posaconazole Suspension,Azole Antifungal [EPC],Hikma Pharmaceuticals Usa Inc.,posaconazole,96.24,125.11,330,2028-01-29,IN_STOCK
0054-0470,Everolimus Tablet,Cytochrome P450 2D6 Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Everolimus,43.5,56.55,360,2028-12-10,IN_STOCK
0054-0471,Everolimus Tablet,Cytochrome P450 2D6 Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Everolimus,145.95,189.73,321,2028-05-14,IN_STOCK
0054-0472,Everolimus Tablet,Cytochrome P450 2D6 Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Everolimus,37.99,49.39,51,2028-05-20,IN_STOCK
0054-0480,Everolimus Tablet,Cytochrome P450 2D6 Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Everolimus,74.67,97.07,293,2028-07-06,IN_STOCK
0054-0481,Everolimus Tablet,Cytochrome P450 2D6 Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Everolimus,109.57,142.44,219,2027-03-01,IN_STOCK
0054-0482,Everolimus Tablet,Cytochrome P450 2D6 Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Everolimus,124.14,161.38,149,2026-11-02,IN_STOCK
0054-0497,Everolimus Tablet,Cytochrome P450 2D6 Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Everolimus,88.02,114.43,383,2027-01-21,IN_STOCK
0054-0508,Icosapent Ethyl Capsule,General Medicine,Hikma Pharmaceuticals Usa Inc.,Icosapent Ethyl,32.66,42.46,250,2027-08-18,IN_STOCK
0054-0517,Morphine Sulfate Solution,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,Morphine Sulfate,65.72,85.44,236,2028-09-07,IN_STOCK
0054-0528,Rufinamide Suspension,General Medicine,Hikma Pharmaceuticals Usa Inc.,Rufinamide,34.56,44.93,281,2028-12-02,IN_STOCK
0054-0576,"Deferiprone Tablet, Coated",Iron Chelating Activity [MoA],Hikma Pharmaceuticals Usa Inc.,Deferiprone,93.66,121.76,266,2028-10-23,IN_STOCK
0054-0603,"Desvenlafaxine Tablet, Film Coated, Extended Release",Cytochrome P450 2D6 Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Desvenlafaxine,110.47,143.61,386,2027-02-19,IN_STOCK
0054-0604,Everolimus Tablet,Cytochrome P450 2D6 Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,Everolimus,80.21,104.27,312,2027-08-29,IN_STOCK
0054-0621,Icosapent Ethyl Capsule,General Medicine,Hikma Pharmaceuticals Usa Inc.,Icosapent Ethyl,149.73,194.65,269,2028-03-22,IN_STOCK
0054-0622,Dicyclomine Hydrochloride Solution,Anticholinergic [EPC],Hikma Pharmaceuticals Usa Inc.,Dicyclomine Hydrochloride,59.64,77.53,113,2028-01-14,IN_STOCK
0054-0650,"Butalbital, Acetaminophen, Caffeine And Codeine Phosphate Capsule",Barbiturate [EPC],Hikma Pharmaceuticals Usa Inc.,"Butalbital, Acetaminophen, Caffeine and Codeine Phosphate",137.26,178.44,200,2028-04-12,IN_STOCK
0054-0652,Vigabatrin Tablet,Anti-epileptic Agent [EPC],Hikma Pharmaceuticals Usa Inc,Vigabatrin,56.37,73.28,394,2028-08-28,IN_STOCK
0054-0660,Lisdexamfetamine Dimesylate Capsule,Central Nervous System Stimulant [EPC],Hikma Pharmaceuticals Usa Inc.,lisdexamfetamine dimesylate,98.28,127.76,379,2027-06-28,IN_STOCK
0054-0668,Alvimopan Capsule,Opioid Antagonist [EPC],Hikma Pharmaceuticals Usa Inc.,Alvimopan,93.46,121.5,123,2027-06-10,IN_STOCK
0054-0709,Methadone Hydrochloride Tablet,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,METHADONE HYDROCHLORIDE,45.46,59.1,177,2027-05-19,IN_STOCK
0054-0710,Methadone Hydrochloride Tablet,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,METHADONE HYDROCHLORIDE,141.52,183.98,177,2028-11-28,IN_STOCK
0054-0711,"Deferiprone Tablet, Coated",Iron Chelating Activity [MoA],Hikma Pharmaceuticals Usa Inc.,Deferiprone,46.91,60.98,131,2028-09-06,IN_STOCK
0054-0742,"Albuterol Sulfate Aerosol, Metered",Adrenergic beta2-Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,Albuterol Sulfate,107.22,139.39,187,2028-02-04,IN_STOCK
0054-0748,Dicyclomine Hydrochloride Capsule,Anticholinergic [EPC],Hikma Pharmaceuticals Usa Inc.,Dicyclomine hydrochloride,55.58,72.25,394,2027-07-08,IN_STOCK
0054-0749,"Prucalopride Tablet, Film Coated",Serotonin 4 Receptor Agonists [MoA],Hikma Pharmaceuticals Usa Inc,Prucalopride,46.73,60.75,318,2028-08-23,IN_STOCK
0054-0750,"Prucalopride Tablet, Film Coated",Serotonin 4 Receptor Agonists [MoA],Hikma Pharmaceuticals Usa Inc,Prucalopride,83.76,108.89,227,2027-09-19,IN_STOCK
0054-0812,Pyrazinamide Tablet,Antimycobacterial [EPC],Hikma Pharmaceuticals Usa Inc,pyrazinamide,143.42,186.45,99,2027-07-25,IN_STOCK
0054-0829,Progesterone Capsule,Progesterone [CS],Hikma Pharmaceuticals Usa Inc,Progesterone,11.1,14.43,390,2026-12-20,IN_STOCK
0054-0830,Progesterone Capsule,Progesterone [CS],Hikma Pharmaceuticals Usa Inc,Progesterone,55.22,71.79,251,2028-08-02,IN_STOCK
0054-0843,Hydrocodone Bitartrate And Acetaminophen Liquid,Opioid Agonist [EPC],Hikma Pharmaceuticals Usa Inc.,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,42.18,54.83,270,2027-05-08,IN_STOCK
0054-0879,Mercaptopurine Suspension,Nucleic Acid Synthesis Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,MERCAPTOPURINE,34.3,44.59,300,2027-07-05,IN_STOCK
0054-0906,Sapropterin Dihydrochloride Tablet,Breast Cancer Resistance Protein Inhibitors [MoA],Hikma Pharmaceuticals Usa Inc.,sapropterin dihydrochloride,140.29,182.38,381,2027-07-06,IN_STOCK
0054-0936,"Tapentadol Tablet, Film Coated, Extended Release",Opioid Agonist [EPC],Hikma Pharmaceuticals Usa Inc.,Tapentadol Hydrochloride,24.9,32.37,340,2028-10-28,IN_STOCK
0054-0937,"Tapentadol Tablet, Film Coated, Extended Release",Opioid Agonist [EPC],Hikma Pharmaceuticals Usa Inc.,Tapentadol Hydrochloride,90.09,117.12,149,2026-11-21,IN_STOCK
0054-0938,"Tapentadol Tablet, Film Coated, Extended Release",Opioid Agonist [EPC],Hikma Pharmaceuticals Usa Inc.,Tapentadol Hydrochloride,102.13,132.77,296,2027-05-20,IN_STOCK
0054-0939,"Tapentadol Tablet, Film Coated, Extended Release",Opioid Agonist [EPC],Hikma Pharmaceuticals Usa Inc.,Tapentadol Hydrochloride,97.5,126.75,51,2027-01-11,IN_STOCK
0054-0940,"Tapentadol Tablet, Film Coated, Extended Release",Opioid Agonist [EPC],Hikma Pharmaceuticals Usa Inc.,Tapentadol Hydrochloride,64.93,84.41,392,2028-01-27,IN_STOCK
0054-0942,"Tapentadol Tablet, Film Coated",Opioid Agonist [EPC],Hikma Pharmaceuticals Usa Inc.,Tapentadol Hydrochloride,19.58,25.45,95,2026-10-06,IN_STOCK
0054-0943,"Tapentadol Tablet, Film Coated",Opioid Agonist [EPC],Hikma Pharmaceuticals Usa Inc.,Tapentadol Hydrochloride,144.86,188.32,105,2027-11-21,IN_STOCK
0054-0945,"Tapentadol Tablet, Film Coated",Opioid Agonist [EPC],Hikma Pharmaceuticals Usa Inc.,Tapentadol Hydrochloride,99.67,129.57,268,2028-02-01,IN_STOCK
0054-1100,Aminocaproic Acid Syrup,Antifibrinolytic Agent [EPC],Hikma Pharmaceuticals Usa Inc.,Aminocaproic Acid,99.33,129.13,172,2027-08-25,IN_STOCK
0054-1110,Aminocaproic Acid Tablet,Antifibrinolytic Agent [EPC],Hikma Pharmaceuticals Usa Inc.,Aminocaproic Acid,46.39,60.31,55,2028-11-26,IN_STOCK
0054-1950,Indomethacin Suppository,Anti-Inflammatory Agents,Hikma Pharmaceuticals Usa Inc.,Indomethacin,17.97,23.36,318,2027-05-26,IN_STOCK
0054-2526,"Lithium Carbonate Capsule, Gelatin Coated",Mood Stabilizer [EPC],Hikma Pharmaceuticals Usa Inc.,Lithium Carbonate,82.6,107.38,395,2026-11-08,IN_STOCK
0054-2527,"Lithium Carbonate Capsule, Gelatin Coated",Mood Stabilizer [EPC],Hikma Pharmaceuticals Usa Inc.,Lithium Carbonate,137.42,178.65,114,2027-12-02,IN_STOCK
0054-2531,"Lithium Carbonate Capsule, Gelatin Coated",Mood Stabilizer [EPC],Hikma Pharmaceuticals Usa Inc.,Lithium Carbonate,132.93,172.81,115,2026-11-07,IN_STOCK
0054-3000,"Butalbital, Acetaminophen, Caffeine And Codeine Phosphate Capsule",Barbiturate [EPC],Hikma Pharmaceuticals Usa Inc.,"Butalbital, Acetaminophen, Caffeine and Codeine Phosphate",149.59,194.47,228,2028-12-15,IN_STOCK
0054-3068,"Alprazolam Solution, Concentrate",Benzodiazepine [EPC],Hikma Pharmaceuticals Usa Inc.,Alprazolam,76.83,99.88,173,2026-11-08,IN_STOCK
0054-3090,"Butorphanol Tartrate Spray, Metered",Competitive Opioid Antagonists [MoA],Hikma Pharmaceuticals Usa Inc.,Butorphanol Tartrate,6.34,8.24,315,2028-06-09,IN_STOCK
0054-3120,Calcitriol Solution,Cholecalciferol [CS],Hikma Pharmaceuticals Usa Inc.,Calcitriol,20.56,26.73,196,2027-07-19,IN_STOCK
0054-3176,"Dexamethasone Intensol Solution, Concentrate",Corticosteroid Hormone Receptor Agonists [MoA],"Hikma Pharmaceuticals Usa, Inc.",Dexamethasone Intensol,70.88,92.14,353,2028-04-09,IN_STOCK
0054-3177,Dexamethasone Solution,Corticosteroid Hormone Receptor Agonists [MoA],"Hikma Pharmaceuticals Usa, Inc.",Dexamethasone,81.03,105.34,93,2028-02-29,IN_STOCK
0054-3185,"Diazepam Intensol Solution, Concentrate",Benzodiazepine [EPC],Hikma Pharmaceuticals Usa Inc.,Diazepam Intensol,72.86,94.72,123,2027-01-24,IN_STOCK
0054-3188,Diazepam Solution,Benzodiazepine [EPC],Hikma Pharmaceuticals Usa Inc.,Diazepam,52.95,68.84,399,2028-01-13,IN_STOCK
0054-3194,Diphenoxylate Hydrochloride And Atropine Sulfate Solution,Anticholinergic [EPC],Hikma Pharmaceuticals Usa Inc.,Diphenoxylate Hydrochloride and Atropine Sulfate,99.0,128.7,392,2027-04-09,IN_STOCK
0054-3270,"Fluticasone Propionate Spray, Metered",Corticosteroid Hormone Receptor Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,Fluticasone Propionate,7.04,9.15,197,2028-12-18,IN_STOCK
0054-3294,Furosemide Solution,Increased Diuresis at Loop of Henle [PE],Hikma Pharmaceuticals Usa Inc.,Furosemide,47.78,62.11,370,2028-11-14,IN_STOCK
0054-3298,Furosemide Solution,Increased Diuresis at Loop of Henle [PE],Hikma Pharmaceuticals Usa Inc.,Furosemide,33.01,42.91,337,2028-07-16,IN_STOCK
0054-3500,Lidocaine Viscous Solution,Amide Local Anesthetic [EPC],Hikma Pharmaceuticals Usa Inc.,Lidocaine Hydrochloride,135.07,175.59,243,2028-03-11,IN_STOCK
0054-3505,Lidocaine Hydrochloride Solution,Amide Local Anesthetic [EPC],Hikma Pharmaceuticals Usa Inc.,Lidocaine Hydrochloride,52.55,68.31,230,2028-08-16,IN_STOCK
0054-3532,"Lorazepam Solution, Concentrate",Benzodiazepine [EPC],Hikma Pharmaceuticals Usa Inc.,Lorazepam,18.83,24.48,96,2028-02-01,IN_STOCK
0054-3545,Meperidine Hydrochloride Solution,Full Opioid Agonists [MoA],Hikma Pharmaceuticals Usa Inc.,Meperidine Hydrochloride,51.92,67.5,152,2026-10-07,IN_STOCK
